,Symbol,Name,Sector
168,EA:NYSE,Electronic Arts,Communication Services
169,LLY:NYSE,Eli Lilly & Co,Health Care
170,EMR:NYSE,Emerson Electric Company,Industrials
171,ENPH:NYSE,Enphase Energy,Information Technology
172,ETR:NYSE,Entergy,Utilities
173,EOG:NYSE,EOG Resources,Energy
174,EFX:NYSE,Equifax,Industrials
175,EQIX:NYSE,Equinix,Real Estate
176,EQR:NYSE,Equity Residential,Real Estate
177,ESS:NYSE,Essex Property Trust,Real Estate
178,EL:NYSE,Estée Lauder Companies,Consumer Staples
179,ETSY:NYSE,Etsy,Consumer Discretionary
180,RE:NYSE,Everest Re,Financials
181,EVRG:NYSE,Evergy,Utilities
182,ES:NYSE,Eversource Energy,Utilities
183,EXC:NYSE,Exelon,Utilities
184,EXPE:NYSE,Expedia Group,Consumer Discretionary
185,EXPD:NYSE,Expeditors,Industrials
186,EXR:NYSE,Extra Space Storage,Real Estate
187,XOM:NYSE,ExxonMobil,Energy
188,FFIV:NYSE,F5 Networks,Information Technology
189,FB:NYSE,Facebook,Communication Services
190,FAST:NYSE,Fastenal,Industrials
191,FRT:NYSE,Federal Realty Investment Trust,Real Estate
192,FDX:NYSE,FedEx,Industrials
193,FIS:NYSE,Fidelity National Information Services,Information Technology
194,FITB:NYSE,Fifth Third Bancorp,Financials
195,FRC:NYSE,First Republic Bank,Financials
196,FE:NYSE,FirstEnergy,Utilities
197,FISV:NYSE,Fiserv,Information Technology
198,FLT:NYSE,Fleetcor,Information Technology
199,FMC:NYSE,FMC Corporation,Materials
200,F:NYSE,Ford,Consumer Discretionary
201,FTNT:NYSE,Fortinet,Information Technology
202,FTV:NYSE,Fortive,Industrials
203,FBHS:NYSE,Fortune Brands Home & Security,Industrials
204,FOXA:NYSE,Fox Corporation (Class A),Communication Services
205,FOX:NYSE,Fox Corporation (Class B),Communication Services
206,BEN:NYSE,Franklin Resources,Financials
207,FCX:NYSE,Freeport-McMoRan,Materials
208,GPS:NYSE,Gap,Consumer Discretionary
209,GRMN:NYSE,Garmin,Consumer Discretionary
210,IT:NYSE,Gartner,Information Technology
211,GNRC:NYSE,Generac Holdings,Industrials
212,GD:NYSE,General Dynamics,Industrials
213,GE:NYSE,General Electric,Industrials
214,GIS:NYSE,General Mills,Consumer Staples
215,GM:NYSE,General Motors,Consumer Discretionary
216,GPC:NYSE,Genuine Parts,Consumer Discretionary
217,GILD:NYSE,Gilead Sciences,Health Care
218,GPN:NYSE,Global Payments,Information Technology
219,GL:NYSE,Globe Life,Financials
220,GS:NYSE,Goldman Sachs,Financials
221,HAL:NYSE,Halliburton,Energy
222,HBI:NYSE,Hanesbrands,Consumer Discretionary
